' Gravitational-Wave Astronomy: Progress and Prospects','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/825.html','Prof. Yanbei Chen (陈雁北); ','2019-4-15','Physics','Room 102,  Research Building 2',
' Stability of Asymmetric Polar or Semipolar Surface, Interface and Edges: from Algorithm to Practices','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/823.html','Prof. Junyi Zhu; ','2019-4-9','Physics','Room 102, Research Building 2',
' Composite Higgs and Dark Matter','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/822.html','Hong-Hao Zhang(张宏浩);','2019-4-8','Physics','Room 102, Research Building 2',
' Pushing the Limits of Quantitative Electron Microscopy to Explore Materials Structures and Dynamics at the Atomic Scale','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/821.html',' Prof. Xiahan Sang','2019-4-4','Physics','Room 102,  Research Building 2',
' Exotic Spin Excitations of Quantum Magnets','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/820.html','Jinsheng Wen (温锦生)','2019-4-2','Physics','Room 102,  Research Building 2',
' DEFECTS IN SEMICONDUCTORS: CURSE OR BLESSING?','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/815.html','Prof. Peter YU','2019-3-28','Physics','Room 102,  Research Building 2',
' Large-scale GW Quasiparticle Calculations for 3D and 2D Systems','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/809.html','Prof. Peihong Zhang','2019-3-19','Physics','Room 102, Research Building 2',
' Application of Machine Learning Methods to Quantum Control Problems','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/805.html','Xin WANG','2019-3-15','Physics','Room 102,  Research Building 2',
' Semiconductor: An Exciting Playground for Quantum Information','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/803.html','Fei DING(丁飞)','2019-2-20','Physics','Room 102,  Research Building 2',
' 庞压卡效应的发现','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/802.html','李昺','2019-2-22','Physics','Room 102,  Research Building 2',
' 新型超离子导体中界面结构与功能分析','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/801.html','高翔','2019-1-21','Physics','Room 102,  Research Building 2',
' 高压诱导的物性优化和原位表征','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/800.html','杨文革','2019-1-21','Physics','Room 102,  Research Building 2',
' Crystal Structure Predictions Using Adaptive Genetic Algorithm and Motif Search Methods','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/798.html','Kai-Ming Ho','2019-1-16','Physics','Room 102,  Research Building 2',
' 初等数論与物理(四)','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/797.html','Nanxian CHEN(陈难先)   ','2019-1-14','Physics','Room 102,  Research Building 2',
' 初等数論与物理(三)','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/796.html','陈难先院士','2019-1-10','Physics','Room 102,  Research Building 2',
' 初等数論与物理(二)','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/793.html','Nanxian CHEN(陈难先)   ','2019-1-4','Physics','Room 102, Research Building 2',
' Theoretical Studies on New Mechanisms of Ferroelectricity and Multiferroicity','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/790.html','Hongjun Xiang(向红军)','2019-1-4','Physics','Room 209,  Research Building 2',
' 初等数論与物理(一)','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/789.html','陈难先院士','2018-12-26','Physics','Room 102,  Research Building 2',
' Control of “Valley” Properties in 2D Materials by Magnetism','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/787.html','Hao Zeng','2018-12-26','Physics','Room 102,  Research Building 2',
' Nontrivial Electronic States in Two-dimensional Metal-organic Frameworks','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/786.html','Mingwen ZHAO(赵明文)','2018-12-27','Physics','Room 102, Research Building 2',
' Nanocombinatorics: Multiplexed Nanopatterning of Multifunctional Materials','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/785.html','Vinayak P. Dravid, PhD','2018-12-24','Physics','Room 102, Research Building 2',
' What Happened Since Ashcroft/Mermin and Where Is It Going?','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/781.html','Yang Kun ( 杨昆)','2018-12-17','Physics','Room 102,  Research Building 2',
' 氧化物半导体光电材料的能带调控','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/777.html','Lei LIU (刘雷)','2018-12-13','Physics','Room 102,  Research Building 2',
' Cold Atom Floquet Time Crystals','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/776.html','W. Vincent Liu (刘文胜) ','2018-12-14','Physics','Meeting Room, 6th Floor, Innovation Park Building 1',
' Spin-triplet, Odd-parity Superconductivity  in Sr2RuO4: An Update','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/775.html','Ying Liu (刘荧)','2018-12-10','Physics','Room 102,  Research Building 2',
' Watching Molecules in a Cavity','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/774.html','Shui-Ming Hu (胡水明)','2018-12-6','Physics','Room 102,  Research Building 2',
' Discovery of Log-peoriodic Quantum Oscillations','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/773.html','Jian WANG (王健)','2018-12-5','Physics','Room 102,  Research Building 2',
' Atomic Modeling of Quantum Processes in Nanoscale Devices','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/772.html','Thomas Frauenheim','2018-11-30','Physics','Room 102, Research Building 2',
' 氧化物陶瓷晶界的空间电荷是否存在？','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/770.html','Hui Gu (顾辉)','2018-11-21','Physics','Room 102, Research Building 2',
' Understanding 2-D Interfacial “Phases” and Computing Grain Boundray “Phases” Diagrams to Help Decipher the Materials Genome','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/769.html','Jian Luo (骆建)','2018-11-21','Physics','Room 102,  Research Building 2',
' Heat Conduction Beyond Fourier Diffusion:Ballistic, Coherent, Localized, Hydrodynamic, and Divergent Modes','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/763.html','Gang Chen (陈刚)','2018-11-15','Physics','Room 111, Lynn Library',
' X射线自由电子激光发展及其科学应用','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/761.html','Dong Wang(王东)','2018-11-6','Physics','Room 102,  Research Building 2',
' Metal-Supported 2-D Oxide Systems: Substrate Coupling, Commensurability and Strain Effects','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/760.html','Prof. Falko P. Netzer','2018-11-8','Physics','Room 102,  Research Building 2',
' Progresses in Topological Materials Based on Layered Transition Metal Chalcogenides','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/758.html','Ji Feng (冯济)','2018-10-29','Physics','Room 102,  Research Building 2',
' Mechanical properties Characterization of','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/752.html','Qian Yu (余倩)','2018-10-8','Physics','Room 102,  Research Building 2',
' 对称性破缺下功能材料的结构与电子结构','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/751.html','Lin GU(谷林)','2018-10-8','Physics','Room 102,  Research Building 2',
' Spin and Water Transport through Nanoscale Graphene Channels: Tunability and Quantum Effect','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/748.html','Shiwu Gao (高世武)','2018-9-20','Physics','Room 102, Research Building 2',
' Scientific Publishing from the Inside Out','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/745.html','Brent Grocholski','2018-9-10','Physics','Library 111',
' 几种典型层状材料的面外热传导性能的研究','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/742.html','卢明辉','2018-8-24','Physics','Room 102,  Research Building 2',
' Electric Field Control of Ionic Evolution: A Novel Strategy to Re-design Materials','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/741.html','Pu YU(于浦)','2018-8-23','Physics','Room 102,  Research Building 2',
' Achieving Enhanced Thermoelectric Performance in','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/739.html','Qingyu Yan','2018-8-22','Physics','Room 102,  Research Building 2',
' Harness Strong Light-Matter Coupling in Perovskite Materials towards Coherent Room Temperature Exciton Polaritonics','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/738.html','Qihua Xiong(熊启华)','2018-8-22','Physics','Room 102, Research Building 2',
' Thermal Conduction in Solids: Playing with It as a Materials Physicist','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/727.html','Prof. Junqiao Wu （吴军桥)','2018-7-4','Physics','Room 102,  Research Building 2',
' Quantum Phase Transitions and Magnetic Field-Enhancement of Superconductivity in Ultrathin Pb Films','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/726.html','Peng Xiong(熊鹏); ','2018-7-3','Physics','Room 102,  Research Building 2',
' Local Structure Orders in Metallic Liquids and Their Influences on the Dynamics of Glass and Phase Selection','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/717.html','Cai-Zhuang Wang','2018-5-31','Physics','Room 102,  Research Building 2',
' Interplay of Topology and Geometry in Fractional Quantum Hall Liquids','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/710.html','Prof. Yang Kun ( 杨昆）','2018-5-21','Physics','Room 102,  Research Building 2',
' The Search for a QBist Formulation of Quantum Information','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/699.html','Prof. Christopher A. Fuchs ','2018-5-2','Physics','Room 102,  Research Building 2',
' State-of-the-Art Photoemission Study on High Temperature Superconductors and Quantum Materials','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/698.html','Prof. Xingjiang ZHOU (周兴江)','2018-4-26','Physics','Room 102,  Research Building 2',
' 一维纳米储能材料与器件新进展','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/688.html','Prof. Liqiang MAI(麦立强)','2018-4-15','Physics','Room 102,  Research Building 2',
' Light-matter Interaction in Perovskite Nanowire Microcavities: Low Threshold Lasing and Polariton Effect','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/687.html','Qing Zhang (张青)','2018-4-12','Physics','Room 102,  Research Building 2',
' 确定性制备多原子纠缠态  演示超越测量精度的经典极限','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/684.html','Prof. Li You (尤力)','2018-4-13','Physics','Room 102,  Research Building 2',
' 超导薄膜/异质结的制备和扫描隧道谱研究','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/680.html','宋灿立','2018-4-13','Physics','Room 102,  Research Building 2',
' From Nanoscience to Neuroscience','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/679.html','贾宏博','2018-4-4','Physics','Room 102,  Research Building 2',
' The Hall Effects Edwin Hall Never Imagined','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/678.html','Prof. Xiaofeng JIN(金晓峰)','2018-3-30','Physics','Room 102,  Research Building 2',
'  Towards Black Holes  走近黑洞','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/664.html','Prof. Fulai Guo (郭福来)','2018-3-13','Physics','Room 209,  Research Building 2',
' The Mechanism of Low Dimensional Nanomaterials Synthesis','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/659.html','Feng Ding ','2018-2-2','Physics','Room 102, Faculty Research Building 2',
' Verification of Measurement-Based Quantum Computation','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/658.html','Masahito Hayashi','2018-2-8','Physics','Room 102, Faculty Research Building 2',
' 一花一世界 -- 现代数学物理的世界','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/657.html','Liang KONG (孔良 )','2018-1-24','Physics','Room 102, Faculty Research Building 2',
' Perspectives of Hydrogen Storage in Aperiodic Ti-based Quasicrystals and High Pressure Research Center in Korea','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/656.html','Jaeyong Kim','2018-1-23','Physics','Room 102, Faculty Research Building 2',
' ATOMICALLY RESOLVED INTERFACIAL COUPLING AND POLARIZATION OF ABO3 HETEROSTRUCTURES','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/654.html','Yimei Zhu','2018-1-16','Physics','Room 102, Faculty Research Building 2',
' Quantum machine learning and quantum anomaly detection','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/651.html','Nana LIU','2018-1-9','Physics','Room 102, Faculty Research Building 2',
' Revealing Electron-Phonon Coupling and Interplay in Strongly Correlated Quantum Materials Using Ultrafast Electrons','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/650.html','Yimei Zhu','2018-1-4','Physics','Room 102, Faculty Research Building 2',
' A Historical Exposé of the Developments of Electron Microscopy and Applications to Macromolecules and Inorganic Compounds','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/649.html','Sven Hovmöller','2018-1-4','Physics','Room 102, Faculty Research Building 2',
' Probing 3D Structures of Nanoporous Materials by Transmission Electron Microscopy and Electron Diffraction','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/648.html','Xiaodong Zou','2018-1-4','Physics','Room 102, Faculty Research Building 2',
' Some Recent Developments in Ab Initio Material Simulations','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/647.html','Linwang WANG(汪林望),','2017-12-29','Physics','Room 102, Faculty Research Building 2',
' How to Publish in Nature Journals','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/646.html','Wei Fan','2017-12-26','Physics','Room 102, Faculty Research Building 2',
' Single Crystal Growth of Novel Electronic and Magnetic Materials by High-temperature Flux Method','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/645.html','Gang WANG(王刚)','2017-12-25','Physics','Room 102, Faculty Research Building 2',
' 掺杂/缺陷对金属氧化物电子结构调控及其在电子器件、光电催化等方面的应用研究','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/644.html','Hongliang ZHANG(张洪良)','2017-12-20','Physics','Room 102, Faculty Research Building 2',
' Protein Dynamics on Multiple Timescales Studied by Neutron Scattering','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/643.html','Xiangqiang CHU(储祥蔷)','2017-12-19','Physics','Room 102, Faculty Research Building 2',
' How to Publish in Nature Journals','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/642.html','Wei Fan','2017-12-26','Physics','Room 102, Faculty Research Building 2',
' MgB2 Thin Films for SRF Cavity Applications','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/641.html','Xiaoxing XI(郗小星)','2017-12-20','Physics','Room 102, Faculty Research Building 2',
' Photodetection from Mid-IR to UV Using Semiconductor Heterostructures','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/639.html','Tom Wu (吴韬)','2017-12-18','Physics','Room 102, Faculty Research Building 2',
' Adding Functionalities to the 2D Materials Family: Layered ferroelectrics and applications','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/638.html','Junling WANG(王峻岭) ','2017-12-18','Physics','Room 102, Faculty Research Building 2',
' Cracking the Nanophysics of Oxide Interface and Heterostructures with ALL-Laser MBE','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/637.html','Xiaoxing XI(郗小星)','2017-12-14','Physics','Room 102, Faculty Research Building 2',
' Adding Functionalities to the 2D Materials Family: Layered ferroelectrics and applications','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/636.html','Junling WANG','2017-12-15','Physics','Room 102, Faculty Research Building 2',
' Spin-based Quantum Information Processing','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/635.html','Xinhua PENG（彭新华)','2017-12-13','Physics','Room 102, Faculty Research Building 2',
' Pushing the Limit of Theoretical Resolution for Single-particle Cryo-EM Reconstructions','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/634.html','Xinzheng ZHANG(章新政), ','2017-12-11','Physics','Room 111, Lynn Library',
' Gravitational Waves: Where Do We Stand?','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/631.html','Cosimo Bambi','2017-12-7','Physics','Room 102, Faculty Research Building 2',
' Spin Noise Spectra of Rb Atom Gas and n-GaAs Semiconductor','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/630.html','Yang Ji（姬扬）','2017-12-4','Physics','Room 102, Faculty Research Building 2',
' Quantum Effects in Few-body Physics: the Efimov Trilogy','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/628.html','Zhenhua YU (俞振华)','2017-12-1','Physics','Room 102, Faculty Research Building 2',
' Quantum Effects in Few-body Physics: the Efimov Trilogy','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/626.html','Zhenhua YU (俞振华) ','2017-12-1','Physics','Room 102, Faculty Research Building 2',
' “捕捉薛定谔猫”与未来量子技术','https://phy.sustc.edu.cn/index.php?s=/Show/index/cid/33/id/625.html','Weiping ZHANG(张卫平)','2017-11-28','Physics','Room 102, Faculty Research Building 2',
